Date,Rent,Case,RentLP,CaseLP
2020-01,5464,0,0,0
2020-02,5438,0,-0.004758419,0
2020-03,5411,48702,-0.004965061,0
2020-04,5385,470882,-0.004805027,0
2020-05,5346,737205,-0.00724234,0.56558331
2020-06,5308,795315,-0.007108118,0.07882475
2020-07,5269,882224,-0.0073474,0.109276199
2020-08,5234,935501,-0.006642627,0.060389425
2020-09,5199,948565,-0.006687046,0.01396471
2020-10,5163,1047024,-0.006924409,0.103797842
2020-11,5153,1185779,-0.001936858,0.132523228
2020-12,5144,1645863,-0.001746555,0.388001474
2021-01,5134,2276061,-0.001944012,0.382898212
2021-02,5174,2652763,0.007791196,0.165506109
2021-03,5214,3495550,0.007730963,0.317701581
2021-04,5255,3917277,0.007863445,0.120646822
2021-05,5310,4238621,0.010466223,0.082032493
2021-06,5366,4148070,0.010546139,-0.021363316
2021-07,5421,4348435,0.01024972,0.048303187
2021-08,5481,4611838,0.011068069,0.060574207
2021-09,5541,4779944,0.010946907,0.036450977
2021-10,5601,5179206,0.01082837,0.083528594
2021-11,5664,5188982,0.011247991,0.001887548
2021-12,5728,6328524,0.011299435,0.219608008
